PANTONENAME,UNIQUECODE,L,a,b
2324 C,10863,68,2,18
2325 C,10864,61,2,17
2326 C,10865,53,2,18
2327 C,10866,51,-1,19
2328 C,10867,45,3,19
2329 C,10868,38,3,19
233 C,10869,44,70,-12
2330 C,10870,82,0,2
2331 C,10871,69,2,1
2332 C,10872,57,0,2
2333 C,10873,47,1,2
2334 C,10874,43,2,2
2335 C,10875,35,5,7
2336 C,10876,32,1,2
2337 C,10877,83,19,12
2338 C,10878,73,21,12
2339 C,10879,71,34,16
234 C,10880,36,61,-11
2340 C,10881,58,38,13
2341 C,10882,54,29,11
2342 C,10883,50,37,12
2343 C,10884,47,35,6
2344 C,10885,66,43,29
2345 C,10886,65,55,31
2346 C,10887,62,64,27
2347 C,10888,48,73,63
2348 C,10889,56,56,35
2349 C,10890,47,57,58
235 C,10891,29,51,-10
2350 C,10892,39,55,42
2351 C,10893,60,32,-19
2352 C,10894,54,39,-21
2353 C,10895,51,53,-25
2354 C,10896,44,35,-22
2355 C,10897,31,56,-31
2356 C,10898,25,49,-25
2357 C,10899,22,38,-10
2358 C,10900,68,4,-5
2359 C,10901,50,7,-9
236 C,10902,77,34,-16
2360 C,10903,52,3,-12
2361 C,10904,48,4,-16
2362 C,10905,46,4,-14
2363 C,10906,41,5,-13
2364 C,10907,40,7,-9
2365 C,10908,81,23,-13
2366 C,10909,49,19,-52
2367 C,10910,37,24,-55
2368 C,10911,37,29,-63
2369 C,10912,33,29,-65
237 C,10913,69,46,-21
2370 C,10914,24,30,-59
2371 C,10915,18,44,-65
2372 C,10916,18,27,-51
2373 C,10917,54,-2,-18
2374 C,10918,40,-1,-21
2375 C,10919,65,50,-26
2376 C,10920,38,-1,-15
2377 C,10921,34,-8,-20
2378 C,10922,31,-1,-20
2379 C,10923,29,-1,-13
238 C,10924,60,60,-26
2380 C,10925,21,0,-16
2381 C,10926,60,-2,-44
2382 C,10927,54,-10,-50
2383 C,10928,47,-9,-39
2384 C,10929,39,-6,-42
2385 C,10930,52,68,-31
2386 C,10931,44,5,-55
2387 C,10932,42,8,-61
2388 C,10933,35,11,-60
2389 C,10934,62,-17,-29
239 C,10935,54,68,-27
2390 C,10936,48,-16,-34
2391 C,10937,49,-20,-30
2392 C,10938,40,-17,-24
2393 C,10939,56,-18,-40
2394 C,10940,54,-14,-44
2395 C,10941,45,73,-31
2396 C,10942,58,-28,-24
2397 C,10943,67,-38,-16
2398 C,10944,68,-41,-10
2399 C,10945,63,-41,-5
